"AGER" "RELAT" "familr" "sexer" "IMPNBS" "REJETS" "OPGNB" "MOYRV" "TAVEP" "ENDET" "GAGET" "GAGEC" "GAGEM" "KVUNB" "QSMOY" "QCRED" "DMVTP" "BOPPN" "FACAN" "LGAGT" "VIENB" "VIEMT" "UEMNB" "UEMMTS" "XLGNB" "XLGMT" "YLVNB" "YLVMT" "NBELTS" "MTELTS" "NBCATS" "MTCATS" "NBBECS" "MTBECS" "ROCNB" "NTCAS" "NPTAG" "SEGV2S" "ITAVC" "HAVEF" "JNBJD1S" "JNBJD2S" "JNBJD3S" "DEPTS" "PVS" "SEXEQ" "FAMIQ" "PCSPQ" "QUALS" "kvunbq" "vienbq" "uemnbq" "xlgnbq" "ylvnbq" "rocnbq" "nptagq" "endetq" "gagetq" "facanq" "lgagtq" "havefq" "ageq" "relatq" "qsmoyq" "opgnbq" "moyrvq" "tavepq" "dmvtpq" "boppnq" "jnbjdq1" "jnbjdq2" "jnbjdq3" "itavcq" "CARVP"
"5017772" 36 28 1 1 0 0 0 17 209620 0 0 0 0 1 7946 17 23 7 0 0 0 0 3 209620 1 1e+05 2 109620 0 0 0 0 0 0 0 1 0 5 214156 0 0 0 0 "31" "1" "femme" "C" "305" "A" "K0" "V0" "U2" "X1" "Y2" "R0" "N0" "E0" "G0" "F0" "L0" "H0" "A0" "R0" "Q1" "O0" "M1" "T2" "D2" "B0" "J0" "J0" "J0" "I2" "oui"
"5021576" 60 27 3 1 0 0 2 28 30522 0 0 0 0 1 49622 28 14 56 0 0 0 0 1 30522 0 0 1 30522 0 0 0 0 0 0 19 1 0 4 96681 0 0 0 0 "31" "1" "femme" "M" "305" "C" "K0" "V0" "U1" "X0" "Y1" "R1" "N0" "E0" "G0" "F0" "L0" "H0" "A2" "R0" "Q2" "O1" "M2" "T1" "D1" "B2" "J0" "J0" "J0" "I2" "oui"
"5049589" 37 16 1 0 0 0 1 12 167002 0 0 0 0 1 10365 12 13 17 44000 0 0 0 1 167002 1 167002 0 0 0 0 0 0 0 0 4 1 0 4 169438 0 0 0 0 "31" "1" "homme" "C" "505" "B" "K0" "V0" "U1" "X1" "Y0" "R1" "N0" "E0" "G0" "F1" "L0" "H0" "A0" "R0" "Q2" "O1" "M1" "T2" "D0" "B0" "J0" "J0" "J0" "I2" "oui"
"5058983" 55 13 3 0 0 0 1 54 130041 0 0 0 0 1 37097 54 14 57 0 0 1 105281 2 130041 0 0 2 130041 0 0 0 0 0 0 21 2 0 4 241939 105281 0 0 0 "31" "1" "homme" "M" "405" "A" "K0" "V1" "U2" "X0" "Y2" "R1" "N0" "E0" "G0" "F0" "L0" "H1" "A2" "R0" "Q2" "O1" "M2" "T2" "D1" "B2" "J0" "J0" "J0" "I2" "oui"
"5075806" 36 6 1 1 0 0 3 519 500 0 12802 12802 0 1 42263 168 13 67 3394 0 0 0 1 500 0 0 1 500 0 0 0 0 0 0 39 2 0 4 407687 0 7 5 0 "31" "2" "femme" "C" "305" "C" "K0" "V0" "U1" "X0" "Y1" "R1" "N0" "E0" "G1" "F1" "L0" "H0" "A0" "R0" "Q2" "O2" "M2" "T1" "D0" "B2" "J2" "J2" "J0" "I2" "oui"
"5078110" 31 5 5 1 0 0 0 0 0 0 60940 1792 59148 1 -24136 0 37 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 7 0 0 4 31 30 "31" "1" "femme" "U" "405" "E" "K0" "V0" "U1" "X1" "Y0" "R0" "N0" "E0" "G1" "F0" "L0" "H0" "A0" "R0" "Q0" "O0" "M0" "T0" "D2" "B0" "J2" "J2" "J2" "I0" "oui"
"5082842" 41 3 3 1 0 0 0 10 0 0 0 0 0 1 10333 10 13 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 41200 0 0 0 0 "31" "1" "femme" "M" "305" "E" "K0" "V0" "U1" "X0" "Y1" "R0" "N0" "E0" "G0" "F0" "L0" "H0" "A1" "R0" "Q2" "O0" "M0" "T0" "D0" "B0" "J0" "J0" "J0" "I1" "oui"
"5084316" 41 3 1 1 0 0 1 4 0 0 230000 0 0 1 7409 4 19 6 0 230000 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 13600 0 0 0 0 "31" "4" "femme" "C" "307" "E" "K0" "V0" "U0" "X0" "Y0" "R0" "N0" "E0" "G1" "F0" "L1" "H0" "A1" "R0" "Q1" "O1" "M0" "T0" "D2" "B0" "J0" "J0" "J0" "I1" "oui"
"142817" 74 856 3 1 0 0 2 10 123474 0 0 0 0 2 1906 10 12 53 0 0 0 0 3 123474 1 98974 2 24500 0 0 0 0 0 0 17 2 0 4 124598 0 28 0 0 "31" "1" "femme" "M" "0" "D" "K1" "V0" "U2" "X1" "Y2" "R1" "N0" "E0" "G0" "F0" "L0" "H0" "A2" "R2" "Q0" "O1" "M0" "T2" "D0" "B2" "J2" "J0" "J0" "I2" "oui"
"159663" 41 152 1 0 0 0 1 45 150753 0 0 0 0 2 8489 25 12 27 0 0 0 0 3 150753 1 99831 2 50922 0 0 0 0 0 0 4 2 0 5 174645 0 0 0 4 "31" "1" "homme" "C" "345" "A" "K1" "V0" "U2" "X1" "Y2" "R1" "N0" "E0" "G0" "F0" "L0" "H0" "A1" "R1" "Q1" "O1" "M2" "T2" "D0" "B1" "J0" "J0" "J2" "I2" "oui"
"458833" 53 111 3 1 0 0 3 31 176633 0 0 0 0 1 9384 31 12 80 0 0 0 0 3 176633 0 0 3 176633 0 0 0 0 0 0 29 3 0 6 183551 0 0 0 0 "82" "1" "femme" "M" "427" "A" "K0" "V0" "U2" "X0" "Y2" "R1" "N0" "E0" "G0" "F0" "L0" "H0" "A2" "R1" "Q2" "O2" "M2" "T2" "D0" "B2" "J0" "J0" "J0" "I2" "oui"
"521801" 56 47 2 1 0 -1 1 4 0 0 0 0 0 2 827 4 12 14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 7 1611 0 22 8 0 "65" "1" "femme" "D" "800" "D" "K1" "V0" "U0" "X0" "Y0" "R0" "N0" "E0" "G0" "F0" "L0" "H0" "A2" "R0" "Q0" "O1" "M0" "T0" "D0" "B0" "J2" "J2" "J0" "I0" "oui"
"555715" 27 113 1 1 0 0 0 31 9510 6 140924 97742 43182 2 51945 31 15 86 0 0 0 0 2 9510 1 8920 1 590 0 0 0 0 0 0 59 3 0 6 110773 3211 0 0 8 "65" "1" "femme" "C" "545" "B" "K1" "V0" "U2" "X1" "Y1" "R1" "N0" "E1" "G1" "F0" "L0" "H1" "A0" "R1" "Q2" "O0" "M2" "T1" "D2" "B2" "J0" "J0" "J2" "I2" "oui"
"647443" 37 70 3 1 0 0 0 4 73018 26 283098 0 0 1 1901 1 33 2 0 283098 0 0 2 73018 2 73018 0 0 0 0 0 0 0 0 0 1 0 5 75631 2247 1 0 0 "65" "1" "femme" "M" "545" "A" "K0" "V0" "U2" "X2" "Y0" "R0" "N0" "E1" "G1" "F0" "L1" "H1" "A0" "R0" "Q0" "O0" "M0" "T2" "D2" "B0" "J1" "J0" "J0" "I1" "oui"
"1043580" 47 288 3 1 0 0 5 48 64532 0 15447 15447 0 2 8358 49 12 74 0 0 0 0 1 64532 0 0 1 64532 0 0 0 0 0 0 16 2 0 6 67149 0 0 0 0 "31" "4" "femme" "M" "348" "B" "K1" "V0" "U1" "X0" "Y1" "R1" "N0" "E0" "G1" "F0" "L0" "H0" "A1" "R2" "Q1" "O2" "M2" "T2" "D0" "B2" "J0" "J0" "J0" "I1" "oui"
"1045064" 45 108 3 1 0 -2 1 62 0 10 741400 24032 22013 1 -15800 62 12 103 0 695355 0 0 0 0 0 0 0 0 0 0 0 0 0 0 47 4 0 7 0 0 31 30 25 "31" "1" "femme" "M" "465" "D" "K0" "V0" "U0" "X0" "Y0" "R1" "N0" "E1" "G1" "F0" "L1" "H0" "A1" "R1" "Q0" "O1" "M2" "T0" "D0" "B2" "J2" "J2" "J2" "I0" "oui"
"1161004" 42 203 3 1 0 0 8 40 36461 10 215668 29604 104330 2 926 39 12 112 0 81734 0 0 4 36461 2 36193 2 268 0 0 0 0 0 0 52 4 0 6 37843 400 2 27 44 "31" "1" "femme" "M" "555" "A" "K1" "V0" "U2" "X2" "Y2" "R1" "N0" "E1" "G1" "F0" "L1" "H1" "A1" "R1" "Q0" "O2" "M2" "T1" "D0" "B2" "J1" "J2" "J2" "I1" "oui"
"1245284" 52 246 3 1 0 0 4 15 71184 35 463014 0 0 3 3486 15 12 38 0 463014 0 0 3 71184 2 71084 1 100 0 0 0 0 0 0 7 2 0 4 116463 31066 0 0 0 "31" "1" "femme" "M" "425" "B" "K1" "V0" "U2" "X2" "Y1" "R1" "N0" "E1" "G1" "F0" "L1" "H1" "A2" "R2" "Q1" "O2" "M1" "T2" "D0" "B1" "J0" "J0" "J0" "I2" "oui"
"1254973" 47 152 3 1 0 0 1 34 73851 56 492189 22642 11365 1 -10962 34 12 56 0 458182 1 29422 3 73851 2 73574 1 277 0 0 0 0 0 0 17 2 0 6 103273 29422 31 30 22 "31" "2" "femme" "M" "465" "B" "K0" "V1" "U2" "X2" "Y1" "R1" "N0" "E1" "G1" "F0" "L1" "H1" "A1" "R1" "Q0" "O1" "M2" "T2" "D0" "B2" "J2" "J2" "J2" "I2" "oui"
"1257767" 26 240 1 1 0 0 3 6 176275 0 0 0 0 1 51104 6 12 30 0 0 1 383524 2 176275 1 146392 1 29883 0 0 0 0 0 0 22 1 0 5 829836 611671 0 0 0 "31" "2" "femme" "C" "850" "A" "K0" "V1" "U2" "X1" "Y1" "R1" "N0" "E0" "G0" "F0" "L0" "H1" "A0" "R2" "Q2" "O2" "M0" "T2" "D0" "B1" "J0" "J0" "J0" "I2" "oui"
"1540931" 47 286 3 1 0 0 0 61 116617 4 84294 2756 81538 1 21526 54 12 40 0 0 1 207025 2 116617 1 45889 1 70728 0 0 0 0 0 0 8 2 0 5 427112 310495 0 5 0 "65" "1" "femme" "M" "485" "A" "K0" "V1" "U2" "X1" "Y1" "R1" "N0" "E1" "G1" "F0" "L0" "H1" "A1" "R2" "Q2" "O0" "M2" "T2" "D0" "B1" "J0" "J2" "J0" "I2" "oui"
"1641038" 57 291 3 1 0 0 1 141 470455 13 127938 0 127938 1 70459 82 15 12 0 0 1 41702 1 470455 0 0 0 0 1 470455 0 0 0 0 0 1 0 5 588246 42202 0 0 0 "31" "3" "femme" "M" "375" "A" "K0" "V1" "U1" "X0" "Y0" "R0" "N0" "E1" "G1" "F0" "L0" "H1" "A2" "R2" "Q2" "O1" "M2" "T2" "D2" "B0" "J0" "J0" "J0" "I2" "oui"
"1647347" 37 142 3 1 0 0 10 1721 82745 0 515015 76092 0 1 2959 948 12 56 116970 438923 2 122076 3 82745 1 31895 2 50850 0 0 0 0 0 0 0 1 0 4 1225600 122781 28 9 15 "31" "3" "femme" "M" "305" "B" "K0" "V1" "U2" "X1" "Y2" "R0" "N0" "E0" "G1" "F1" "L1" "H1" "A0" "R1" "Q0" "O2" "M2" "T2" "D0" "B2" "J2" "J2" "J2" "I2" "oui"
"1962969" 49 146 3 1 0 0 3 258 11017 0 780 780 0 2 6955 257 12 68 376828 0 0 0 1 11017 1 11017 0 0 0 0 0 0 0 0 41 3 1 6 626561 0 31 8 10 "31" "2" "femme" "M" "335" "B" "K1" "V0" "U1" "X1" "Y0" "R1" "N1" "E0" "G1" "F1" "L0" "H0" "A1" "R1" "Q1" "O2" "M2" "T1" "D0" "B2" "J2" "J2" "J2" "I2" "oui"
"2347218" 32 72 1 1 0 0 2 40 181131 0 0 0 0 1 67785 33 12 58 133100 0 1 23148 3 181131 1 84397 2 96734 0 0 0 0 0 0 32 2 0 4 248870 23148 0 0 0 "92" "1" "femme" "C" "375" "A" "K0" "V1" "U2" "X1" "Y2" "R1" "N0" "E0" "G0" "F1" "L0" "H1" "A0" "R0" "Q2" "O1" "M2" "T2" "D0" "B2" "J0" "J0" "J0" "I2" "oui"
"2564296" 31 38 1 1 0 0 2 28 61036 0 0 0 0 1 11325 28 12 34 0 0 0 0 1 61036 1 61036 0 0 0 0 0 0 0 0 22 2 0 4 75248 0 0 0 0 "31" "1" "femme" "C" "485" "C" "K0" "V0" "U1" "X1" "Y0" "R1" "N0" "E0" "G0" "F0" "L0" "H0" "A0" "R0" "Q2" "O1" "M2" "T2" "D0" "B1" "J0" "J0" "J0" "I1" "oui"
"2648551" 41 64 1 1 0 0 0 25 0 0 781861 16916 113098 2 8472 25 12 26 0 651847 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 6 0 0 6 7 10 "97" "1" "femme" "C" "507" "D" "K1" "V0" "U0" "X0" "Y0" "R1" "N0" "E0" "G1" "F0" "L1" "H0" "A1" "R0" "Q1" "O0" "M2" "T0" "D0" "B1" "J2" "J2" "J2" "I0" "oui"
"2840560" 53 292 3 1 0 0 1 29 187117 13 129062 0 8350 2 60293 30 12 56 0 120712 2 114586 2 187117 1 157194 1 29923 0 0 0 0 0 0 29 2 0 4 471222 206517 0 0 0 "31" "1" "femme" "M" "338" "A" "K1" "V1" "U2" "X1" "Y1" "R1" "N0" "E1" "G1" "F0" "L1" "H1" "A2" "R2" "Q2" "O1" "M2" "T2" "D0" "B2" "J0" "J0" "J0" "I2" "oui"
"3444169" 47 137 1 1 0 0 2 22 176 0 97423 47423 50000 1 -35443 22 12 108 564236 0 1 104343 1 176 0 0 1 176 0 0 0 0 0 0 56 2 0 6 104519 104343 26 30 31 "11" "1" "femme" "C" "465" "B" "K0" "V1" "U1" "X0" "Y1" "R1" "N0" "E0" "G1" "F1" "L0" "H1" "A1" "R1" "Q0" "O1" "M1" "T0" "D0" "B2" "J2" "J2" "J2" "I2" "oui"
"5005557" 46 34 3 1 0 0 2 52 186878 6 563254 0 0 3 25340 52 12 65 0 563254 0 0 2 186878 2 186878 0 0 0 0 0 0 0 0 23 3 0 4 211459 0 0 0 0 "31" "2" "femme" "M" "305" "A" "K1" "V0" "U2" "X2" "Y0" "R1" "N0" "E1" "G1" "F0" "L1" "H0" "A1" "R0" "Q2" "O1" "M2" "T2" "D0" "B2" "J0" "J0" "J0" "I2" "oui"
"5032509" 31 24 5 1 0 0 0 9 0 11 95889 0 95889 2 -511 9 12 31 880660 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 7 3244 0 31 19 14 "31" "1" "femme" "U" "305" "D" "K1" "V0" "U0" "X0" "Y0" "R1" "N0" "E1" "G1" "F1" "L0" "H0" "A0" "R0" "Q0" "O0" "M0" "T0" "D0" "B1" "J2" "J2" "J2" "I0" "oui"
"5045122" 30 19 3 1 0 0 3 34 0 0 0 0 0 1 25738 34 12 40 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12 1 0 4 10276 0 19 0 0 "31" "1" "femme" "M" "305" "D" "K0" "V0" "U0" "X0" "Y0" "R1" "N0" "E0" "G0" "F0" "L0" "H0" "A0" "R0" "Q2" "O2" "M2" "T0" "D0" "B1" "J2" "J0" "J0" "I0" "oui"
"5051051" 34 17 1 1 0 0 0 25 168960 0 0 0 0 1 32032 25 12 40 0 0 1 49941 3 168960 2 138960 1 30000 0 0 0 0 0 0 13 2 0 5 248877 49941 0 0 0 "92" "1" "femme" "C" "308" "A" "K0" "V1" "U2" "X2" "Y1" "R1" "N0" "E0" "G0" "F0" "L0" "H1" "A0" "R0" "Q2" "O0" "M2" "T2" "D0" "B1" "J0" "J0" "J0" "I2" "oui"
"5084860" 51 4 1 1 0 0 2 94 56581 0 0 0 0 1 22750 55 12 15 0 0 0 0 2 56581 1 39999 1 16582 0 0 0 0 0 0 0 1 0 5 73806 0 0 0 1 "31" "1" "femme" "C" "307" "A" "K0" "V0" "U2" "X1" "Y1" "R0" "N0" "E0" "G0" "F0" "L0" "H0" "A1" "R0" "Q2" "O1" "M2" "T2" "D0" "B0" "J0" "J0" "J1" "I1" "oui"
"5089717" 34 2 3 1 0 0 2 0 0 0 1173 1173 0 1 456 0 12 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 1 0 1 0 0 0 0 1 "32" "3" "femme" "M" "305" "E" "K0" "V0" "U0" "X0" "Y0" "R1" "N0" "E0" "G1" "F0" "L0" "H0" "A0" "R0" "Q0" "O1" "M0" "T0" "D0" "B0" "J0" "J0" "J1" "I0" "oui"
"7505572" 46 165 3 1 0 0 0 53 97764 30 1112089 6148 131713 1 11281 53 12 64 110400 974228 0 0 3 97764 0 0 3 97764 0 0 0 0 0 0 27 2 0 6 97764 0 0 0 1 "81" "3" "femme" "M" "850" "B" "K0" "V0" "U2" "X0" "Y2" "R1" "N0" "E1" "G1" "F1" "L1" "H0" "A1" "R1" "Q2" "O0" "M2" "T2" "D0" "B2" "J0" "J0" "J1" "I2" "oui"
"7508831" 31 31 3 1 0 0 2 108 202000 1 95703 0 95703 2 15665 41 12 43 176044 0 0 0 2 202000 1 202000 0 0 1 0 0 0 0 0 16 3 0 4 213500 0 0 0 0 "31" "1" "femme" "M" "305" "A" "K1" "V0" "U2" "X1" "Y0" "R1" "N0" "E1" "G1" "F1" "L0" "H0" "A0" "R0" "Q2" "O1" "M2" "T2" "D0" "B1" "J0" "J0" "J0" "I2" "oui"
"157788" 32 167 1 1 0 0 0 13 47710 5 2557 2557 0 2 3704 13 14 28 104000 0 0 0 4 47710 2 11591 2 36119 0 0 0 0 0 0 11 2 0 4 65855 200 1 3 0 "31" "1" "femme" "C" "565" "B" "K1" "V0" "U2" "X2" "Y2" "R1" "N0" "E1" "G1" "F1" "L0" "H1" "A0" "R1" "Q1" "O0" "M1" "T2" "D1" "B1" "J1" "J2" "J0" "I1" "oui"
"583878" 54 252 3 0 0 0 3 27 259665 0 0 0 0 1 7576 27 14 58 52200 0 1 28352 4 259665 2 156216 1 26100 1 77349 0 0 0 0 0 2 1 5 306334 28352 0 2 0 "65" "1" "homme" "M" "428" "A" "K0" "V1" "U2" "X2" "Y1" "R0" "N1" "E0" "G0" "F1" "L0" "H1" "A2" "R2" "Q1" "O2" "M2" "T2" "D1" "B2" "J0" "J1" "J0" "I2" "oui"
"745828" 49 179 2 0 0 0 2 35 2207 18 629478 0 0 1 16606 35 14 41 161900 629478 0 0 2 2207 2 2207 0 0 0 0 0 0 0 0 16 2 0 6 12127 4265 0 0 1 "31" "1" "homme" "D" "465" "B" "K0" "V0" "U2" "X2" "Y0" "R1" "N0" "E1" "G1" "F1" "L1" "H1" "A1" "R1" "Q2" "O1" "M2" "T1" "D1" "B1" "J0" "J0" "J1" "I1" "oui"
"749437" 26 97 1 1 0 0 3 57 11080 4 36408 0 36408 1 39691 57 14 43 0 0 0 0 6 11080 4 10500 2 580 0 0 0 0 0 0 12 1 0 6 101328 0 0 0 0 "31" "1" "femme" "C" "505" "C" "K0" "V0" "U2" "X2" "Y2" "R1" "N0" "E1" "G1" "F0" "L0" "H0" "A0" "R0" "Q2" "O2" "M2" "T1" "D1" "B1" "J0" "J0" "J0" "I2" "oui"
"803789" 55 862 3 1 0 0 1 45 0 0 0 0 0 1 32731 45 14 36 114900 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 2 0 6 25762 200 0 0 0 "31" "1" "femme" "M" "528" "B" "K0" "V0" "U0" "X0" "Y0" "R1" "N0" "E0" "G0" "F1" "L0" "H1" "A2" "R2" "Q2" "O1" "M2" "T0" "D1" "B1" "J0" "J0" "J0" "I1" "oui"
"807114" 51 130 3 1 0 0 0 64 29817 3 52038 0 52038 1 12622 64 14 77 0 0 0 0 2 29817 1 0 1 29817 0 0 0 0 0 0 37 2 0 6 47473 0 0 0 0 "31" "1" "femme" "M" "475" "B" "K0" "V0" "U2" "X1" "Y1" "R1" "N0" "E1" "G1" "F0" "L0" "H0" "A1" "R1" "Q2" "O0" "M2" "T1" "D1" "B2" "J0" "J0" "J0" "I1" "oui"
"858475" 37 77 3 1 0 0 1 10 67510 0 0 0 0 1 9159 10 15 8 0 0 1 32815 2 67510 1 67337 1 173 0 0 0 0 0 0 2 3 1 4 115753 32815 4 7 0 "31" "4" "femme" "M" "528" "B" "K0" "V1" "U2" "X1" "Y1" "R1" "N1" "E0" "G0" "F0" "L0" "H1" "A0" "R0" "Q2" "O1" "M0" "T2" "D2" "B0" "J2" "J2" "J0" "I2" "oui"
"1070200" 46 304 3 1 0 0 3 62 45894 1 36110 414 35696 3 4915 62 14 76 0 0 1 38667 2 45894 1 42894 1 3000 0 0 0 0 0 0 30 2 0 4 95364 39667 16 0 23 "31" "2" "femme" "M" "545" "B" "K1" "V1" "U2" "X1" "Y1" "R1" "N0" "E1" "G1" "F0" "L0" "H1" "A1" "R2" "Q1" "O2" "M2" "T2" "D1" "B2" "J2" "J0" "J2" "I2" "oui"
"1125063" 54 327 1 1 0 0 3 78 202329 0 0 0 0 1 27652 78 14 36 59312 0 0 0 3 202329 1 2242 2 200087 0 0 0 0 0 0 0 1 0 5 218058 0 0 0 0 "31" "1" "femme" "C" "305" "A" "K0" "V0" "U2" "X1" "Y2" "R0" "N0" "E0" "G0" "F1" "L0" "H0" "A2" "R2" "Q2" "O2" "M2" "T2" "D1" "B1" "J0" "J0" "J0" "I2" "oui"
"1642000" 49 853 3 1 0 0 0 25 243984 0 0 0 0 2 18121 25 15 48 0 0 0 0 3 243984 1 101152 2 142832 0 0 0 0 0 0 17 1 0 4 252816 0 21 7 11 "65" "1" "femme" "M" "527" "A" "K1" "V0" "U2" "X1" "Y2" "R1" "N0" "E0" "G0" "F0" "L0" "H0" "A1" "R2" "Q2" "O0" "M2" "T2" "D2" "B2" "J2" "J2" "J2" "I2" "oui"
"1944299" 44 224 1 1 0 0 2 31 10982 0 0 0 0 1 7175 31 14 53 219350 0 0 0 2 10982 0 0 2 10982 0 0 0 0 0 0 25 2 0 6 188450 169800 0 0 0 "31" "1" "femme" "C" "385" "B" "K0" "V0" "U2" "X0" "Y2" "R1" "N0" "E0" "G0" "F1" "L0" "H1" "A1" "R2" "Q1" "O1" "M2" "T1" "D1" "B2" "J0" "J0" "J0" "I2" "oui"
"1945121" 44 207 3 1 0 0 0 29 100251 14 45693 0 45693 1 5936 29 14 76 0 0 0 0 2 100251 1 97672 1 2579 0 0 0 0 0 0 42 2 0 6 111125 500 0 1 11 "97" "1" "femme" "M" "558" "B" "K0" "V0" "U2" "X1" "Y1" "R1" "N0" "E1" "G1" "F0" "L0" "H1" "A1" "R2" "Q1" "O0" "M2" "T2" "D1" "B2" "J0" "J1" "J2" "I2" "oui"
"1946557" 37 179 1 1 0 0 2 28 3415 30 908888 22099 91324 2 -6338 27 14 66 201643 795465 0 0 3 3415 1 2202 2 1213 0 0 0 0 0 0 11 2 0 6 3541 0 30 31 31 "31" "1" "femme" "C" "305" "B" "K1" "V0" "U2" "X1" "Y2" "R1" "N0" "E1" "G1" "F1" "L1" "H0" "A0" "R1" "Q0" "O1" "M2" "T1" "D1" "B2" "J2" "J2" "J2" "I0" "oui"
"2243145" 44 3 3 1 0 0 1 3 0 0 0 0 0 1 1207 3 15 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 1 0 1 6924 0 0 1 18 "31" "1" "femme" "M" "305" "E" "K0" "V0" "U0" "X0" "Y0" "R1" "N0" "E0" "G0" "F0" "L0" "H0" "A1" "R0" "Q0" "O1" "M0" "T0" "D2" "B0" "J0" "J1" "J2" "I0" "oui"
"2540980" 78 703 3 1 0 0 1 85 221317 0 0 0 0 1 35176 85 14 46 0 0 1 294727 2 221317 0 0 2 221317 0 0 0 0 0 0 20 3 0 4 1426335 1172468 1 1 0 "31" "1" "femme" "M" "770" "A" "K0" "V1" "U2" "X0" "Y2" "R1" "N0" "E0" "G0" "F0" "L0" "H1" "A2" "R2" "Q2" "O1" "M2" "T2" "D1" "B2" "J1" "J1" "J0" "I2" "oui"
"2550053" 58 857 3 1 0 0 0 23 33318 0 0 0 0 1 12605 23 14 39 0 0 0 0 1 33318 0 0 0 0 1 33318 0 0 0 0 20 2 0 4 87922 51959 0 0 0 "31" "1" "femme" "M" "625" "B" "K0" "V0" "U1" "X0" "Y0" "R1" "N0" "E0" "G0" "F0" "L0" "H1" "A2" "R2" "Q2" "O0" "M1" "T1" "D1" "B1" "J0" "J0" "J0" "I2" "oui"
"5000827" 35 37 1 0 0 0 4 22 700 13 241678 19203 16467 1 -2421 22 14 53 0 206008 0 0 1 700 0 0 1 700 0 0 0 0 0 0 26 2 0 7 1891 0 30 16 11 "31" "1" "homme" "C" "505" "C" "K0" "V0" "U1" "X0" "Y1" "R1" "N0" "E1" "G1" "F0" "L1" "H0" "A0" "R0" "Q0" "O2" "M1" "T1" "D1" "B2" "J2" "J2" "J2" "I0" "oui"
"5013094" 33 32 3 1 0 0 7 53 92059 13 242134 0 0 2 8543 36 14 127 0 242134 0 0 1 92059 1 92059 0 0 0 0 0 0 0 0 49 3 0 4 102433 0 1 0 1 "82" "3" "femme" "M" "305" "B" "K1" "V0" "U1" "X1" "Y0" "R1" "N0" "E1" "G1" "F0" "L1" "H0" "A0" "R0" "Q1" "O2" "M2" "T2" "D1" "B2" "J1" "J0" "J1" "I2" "oui"
"5034491" 42 24 3 1 0 0 4 31 8000 0 0 0 0 1 8895 31 14 36 0 0 0 0 1 8000 1 8000 0 0 0 0 0 0 0 0 18 1 0 6 12103 0 7 0 0 "31" "1" "femme" "M" "305" "B" "K0" "V0" "U1" "X1" "Y0" "R1" "N0" "E0" "G0" "F0" "L0" "H0" "A1" "R0" "Q1" "O2" "M2" "T1" "D1" "B1" "J2" "J0" "J0" "I1" "oui"
"5060351" 45 14 3 1 0 0 2 3 0 45 500780 500780 0 2 356 3 22 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1226 0 1 0 18 "65" "1" "femme" "M" "308" "C" "K1" "V0" "U0" "X0" "Y0" "R0" "N0" "E1" "G1" "F0" "L0" "H0" "A1" "R0" "Q0" "O1" "M0" "T0" "D2" "B0" "J1" "J0" "J2" "I0" "oui"
"5084075" 57 5 3 0 0 0 5 21 0 0 0 0 0 1 9533 21 14 27 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 2 0 3 16042 0 0 6 0 "31" "2" "homme" "M" "505" "D" "K0" "V0" "U0" "X0" "Y0" "R1" "N0" "E0" "G0" "F0" "L0" "H0" "A2" "R0" "Q2" "O2" "M1" "T0" "D1" "B1" "J0" "J2" "J0" "I1" "oui"
"5086142" 36 4 3 1 0 0 3 33 0 0 11453 11453 0 1 12784 33 14 56 1530 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 24 2 0 3 0 0 0 1 6 "32" "1" "femme" "M" "305" "C" "K0" "V0" "U0" "X0" "Y0" "R1" "N0" "E0" "G1" "F1" "L0" "H0" "A0" "R0" "Q2" "O2" "M2" "T0" "D1" "B2" "J0" "J1" "J2" "I0" "oui"
"115873" 66 767 3 1 0 0 5 109 200118 0 10362 10362 0 2 14782 47 16 110 148500 0 0 0 3 200118 0 0 3 200118 0 0 0 0 0 0 40 2 0 6 217998 17880 0 0 3 "31" "2" "femme" "M" "700" "B" "K1" "V0" "U2" "X0" "Y2" "R1" "N0" "E0" "G1" "F1" "L0" "H1" "A2" "R2" "Q2" "O2" "M2" "T2" "D2" "B2" "J0" "J0" "J2" "I2" "oui"
"148480" 47 246 3 1 0 0 0 63 27251 7 675145 9297 0 1 7247 56 16 94 158401 665848 1 69568 3 27251 2 26743 1 508 0 0 0 0 0 0 42 2 0 6 279138 251887 1 2 8 "65" "1" "femme" "M" "348" "A" "K0" "V1" "U2" "X2" "Y1" "R1" "N0" "E1" "G1" "F1" "L1" "H1" "A1" "R2" "Q1" "O0" "M2" "T1" "D2" "B2" "J1" "J1" "J2" "I2" "oui"
